episode,max fitness score,portion_of_none_noisy_selection,portion_of_noisy_reduction
0,0.14416947881514808,0.0,1.0
1,0.01874765654293209,0.0,1.0
2,0.021822272215972993,0.0,1.0
3,0.02609673790776157,0.0,1.0
4,0.030258717660292422,0.0,1.0
5,0.027596550431196132,0.0,1.0
6,0.023997000374953115,0.0,1.0
7,0.022347206599175107,0.0,1.0
8,0.024109486314210504,0.0,1.0
9,0.02433445819272584,0.0,1.0
10,0.008398950131233596,0.0,1.0
11,0.017885264341957252,0.0,1.0
12,0.007724034495688037,0.0,1.0
13,0.01964754405699287,0.0,1.0
14,0.011211098612673442,0.0,1.0
15,0.016910386201724692,0.0,1.0
16,0.015860517435320576,0.0,1.0
17,0.011623547056617833,0.0,1.0
18,0.007574053243344481,0.0,1.0
19,0.019085114360704925,0.0,1.0
20,0.014248218972628512,0.0,1.0
21,0.009786276715410547,0.0,1.0
22,0.013235845519310008,0.0,1.0
23,0.00989876265466827,0.0,1.0
24,0.009973753280839825,0.0,1.0
25,0.004049493813273464,0.0,1.0
26,0.009186351706036766,0.0,1.0
27,0.015973003374578076,0.0,1.0
28,0.010948631421072497,0.0,1.0
29,0.015298087739032629,0.0,1.0
30,0.007574053243344481,0.0,1.0
31,0.015110611173603461,0.0,1.0
32,0.008961379827521543,0.0,1.0
33,0.01886014248218959,0.0,1.0
34,0.009261342332208544,0.0,1.0
35,0.013273340832395952,0.0,1.0
36,0.011811023622047223,0.0,1.0
37,0.012298462692163392,0.0,1.0
38,0.009673790776152935,0.0,1.0
39,0.011586051743532111,0.0,1.0
40,0.004199475065616909,0.0,1.0
41,0.009373828271466045,0.0,1.0
42,0.014510686164229458,0.0,1.0
43,0.011436070491188444,0.0,1.0
44,0.008998875140607487,0.0,1.0
45,0.005999250093738251,0.0,1.0
46,0.007611548556430536,0.0,1.0
47,0.00892388451443571,0.0,1.0
48,0.002287214098237733,0.0,1.0
49,0.009636295463067102,0.0,1.0
50,0.007011623547056534,0.0,1.0
51,0.007461567304087091,0.0,1.0
52,0.0015748031496062298,0.0,1.0
53,0.00892388451443582,0.0,1.0
54,0.013460817397825231,0.0,1.0
55,0.00892388451443582,0.0,1.0
56,0.015935508061492243,0.0,1.0
57,0.008511436070491207,0.0,1.0
58,0.004049493813273353,0.0,1.0
59,0.012260967379077559,0.0,1.0
60,0.009073865766779154,0.0,1.0
61,0.0022497187851517886,0.0,1.0
62,0.013198350206224285,0.0,1.0
63,0.006824146981627255,0.0,1.0
64,0.009186351706036655,0.0,1.0
65,0.004986876640419857,0.0,1.0
66,0.011661042369703778,0.0,1.0
67,0.009111361079865099,0.0,1.0
68,0.014923134608174071,0.0,1.0
69,0.010048743907011715,0.0,1.0
70,0.008511436070490985,0.0,1.0
71,0.003974503187101575,0.0,1.0
72,0.012298462692163392,0.0,1.0
73,0.0061117360329958625,0.0,1.0
74,0.009261342332208322,0.0,1.0
75,0.012973378327709173,0.0,1.0
76,0.007199100112485923,0.0,1.0
77,0.008998875140607487,0.0,1.0
78,0.006074240719910029,0.0,1.0
79,0.002962129733783292,0.0,1.0
80,0.009448818897637823,0.0,1.0
81,0.008248968878890262,0.0,1.0
82,0.009073865766779154,0.0,1.0
83,0.004086989126359186,0.0,1.0
84,0.008848893888264042,0.0,1.0
85,0.006561679790026309,0.0,1.0
86,0.005024371953505691,0.0,1.0
87,0.008248968878890262,0.0,1.0
88,0.006186726659167641,0.0,1.0
89,0.009973753280839825,0.0,1.0
90,0.00824896887889004,0.0,1.0
91,0.008923884514435598,0.0,1.0
92,0.011136107986501664,0.0,1.0
93,0.008623922009748708,0.0,1.0
94,0.009786276715410547,0.0,1.0
95,0.008586426696662985,0.0,1.0
96,0.006261717285339419,0.0,1.0
